Winner,HeightDif,ReachDif,AgeDif,WinStreakDif,LossDif,SigStrDif,AvgTDDif,BlueAvgSigStrLanded,RedAvgSigStrLanded,BlueAvgSigStrPct,RedAvgSigStrPct,BlueAvgTDLanded,RedAvgTDLanded,BlueAvgTDPct,RedAvgTDPct,BlueAvgSubAtt,RedAvgSubAtt,TotalRoundDif,TotalTitleBoutDif,BlueWins,RedWins,BlueLosses,RedLosses,RedStance,BlueStance,RedOdds,BlueOdds,RedWeightLbs,BlueWeightLbs,RMatchWCRank,BMatchWCRank
Red,-10.16,-15.24,-3,1,-1,1.11,-2.62,3.76,2.65,0.5,0.44,0.5,3.12,0.16,0.64,0.5,0.3,-4,0,4,2,1,2,Orthodox,Orthodox,-155.0,130.0,185,185,,
Red,-20.32,-20.32,6,1,-3,-1.13,-0.58,4.21,5.34,0.47,0.47,0.0,0.58,0.0,0.45,0.0,0.2,-21,0,2,8,2,5,Southpaw,Orthodox,-800.0,550.0,205,265,,
Red,-2.54,0.0,4,-2,0,-1.09,-3.16,3.27,4.36,0.44,0.55,0.81,3.97,0.33,0.44,1.2,0.5,-5,0,2,4,0,0,Orthodox,Orthodox,-575.0,425.0,135,135,,
Red,5.08,0.0,7,0,3,0.44,-0.82,3.85,3.41,0.47,0.53,0.78,1.6,0.23,0.4,0.0,0.2,7,0,4,2,5,2,Orthodox,Orthodox,-148.0,124.0,185,185,,
Red,-2.54,0.0,-3,-4,0,2.35,-2.95,7.13,4.78,0.43,0.52,1.0,3.95,0.25,0.34,0.0,0.2,-13,0,0,4,0,0,Orthodox,Orthodox,-218.0,180.0,170,170,,
Red,2.54,-5.08,0,3,0,-0.44,-5.37,4.46,4.9,0.53,0.63,1.27,6.64,0.52,0.44,0.8,2.3,6,0,9,6,2,2,Orthodox,Orthodox,-162.0,136.0,185,185,13.0,14.0
Red,0.0,2.54,-8,3,-6,-0.16,1.79,5.28,5.44,0.44,0.45,2.63,0.84,0.51,0.34,0.4,0.3,-25,0,7,10,1,7,Orthodox,Orthodox,455.0,-625.0,135,135,10.0,12.0
Red,-2.54,5.08,-5,-3,-1,-0.05,-0.33,4.72,4.77,0.53,0.5,0.23,0.56,0.25,0.23,0.9,0.4,-13,0,3,5,3,4,Switch,Southpaw,-305.0,245.0,125,125,,
Blue,5.08,-2.54,-1,-1,-2,2.45,-0.33,6.25,3.8,0.37,0.43,0.0,0.33,0.0,0.11,0.0,1.1,-16,0,0,4,1,3,Southpaw,Orthodox,-575.0,425.0,135,135,,
Red,-7.62,-5.08,-1,-1,-3,-0.55,-1.44,2.85,3.4,0.49,0.38,1.42,2.86,0.24,0.34,1.5,1.1,-45,0,5,18,7,10,Orthodox,Orthodox,-170.0,142.0,145,145,,
Blue,-5.08,-2.54,-1,3,-3,-1.2,3.86,2.11,3.31,0.56,0.51,5.08,1.22,0.5,0.43,1.7,0.8,-16,0,3,7,0,3,Orthodox,Orthodox,205.0,-250.0,125,125,7.0,14.0
Blue,0.0,10.16,-7,1,-3,0.36,-0.75,5.2,4.84,0.4,0.52,1.13,1.88,0.27,0.34,0.4,0.0,-16,-1,2,4,0,3,Orthodox,Orthodox,170.0,-205.0,135,135,,
Red,-5.08,-5.08,-3,0,-2,-1.57,-1.23,2.91,4.48,0.53,0.52,0.0,1.23,0.0,0.39,0.7,0.6,-17,0,1,4,2,4,Orthodox,Orthodox,-258.0,210.0,135,135,,
Blue,-5.08,-10.16,-10,0,-2,0.87,-0.8,3.5,2.63,0.53,0.33,0.49,1.29,0.6,0.18,0.0,0.5,-13,-1,3,6,4,6,Orthodox,Orthodox,190.0,-230.0,115,115,,
Red,2.54,-10.16,5,0,0,1.07,0.5,4.97,3.9,0.45,0.52,1.0,0.5,0.4,0.5,0.0,0.0,0,0,0,0,1,1,Southpaw,Orthodox,-155.0,130.0,115,115,,
Red,2.54,10.16,0,0,-2,-0.36,-2.03,2.11,2.47,0.59,0.5,0.0,2.03,0.0,0.3,0.0,0.0,-2,0,1,1,1,3,Orthodox,Orthodox,330.0,-425.0,245,265,,
Red,-5.08,5.08,-8,5,-3,-1.47,1.98,2.99,4.46,0.6,0.39,2.73,0.75,0.44,0.75,1.6,1.2,-9,-1,6,6,0,3,Southpaw,Orthodox,,,125,125,1.0,5.0
Blue,-7.62,-2.54,-3,0,-6,1.34,1.11,4.77,3.43,0.51,0.43,1.85,0.74,0.47,0.26,0.9,0.0,-41,0,7,15,3,9,Orthodox,Orthodox,,,185,185,,
Red,-7.62,-7.62,-5,0,1,-0.19,0.91,4.4,4.59,0.48,0.63,0.91,0.0,0.45,0.0,0.4,0.2,1,0,2,4,4,3,Orthodox,Orthodox,,,170,170,,
Red,-7.62,-5.08,0,1,2,0.82,-0.27,3.97,3.15,0.42,0.52,3.38,3.65,0.44,0.38,0.3,1.2,-11,0,4,10,3,1,Switch,Orthodox,-380.0,300.0,155,155,,
Red,-5.08,-5.08,-3,0,3,-2.54,-0.25,4.96,7.5,0.4,0.49,0.34,0.59,0.25,0.54,0.3,0.1,24,0,13,8,7,4,Southpaw,Orthodox,-245.0,200.0,170,170,,
Blue,-5.08,-12.7,-6,0,-3,3.02,0.0,8.12,5.1,0.41,0.56,0.0,0.0,0.0,0.0,0.0,0.2,-17,0,0,4,0,3,Orthodox,Orthodox,240.0,-298.0,125,125,,
Blue,-10.16,-2.54,1,0,-1,-3.18,-1.05,1.94,5.12,0.59,0.54,3.97,5.02,0.44,0.5,2.0,0.8,-7,0,5,6,2,3,Switch,Orthodox,-180.0,150.0,145,145,,
Red,-2.54,-2.54,2,-2,6,2.1,-3.85,5.21,3.11,0.42,0.61,1.04,4.89,0.29,0.65,0.7,0.6,25,0,8,3,7,1,Orthodox,Orthodox,-290.0,235.0,170,170,,
Red,0.0,5.08,3,0,-3,3.95,2.07,7.31,3.36,0.44,0.49,2.07,0.0,0.12,0.0,0.0,0.0,-7,0,0,1,0,3,Orthodox,Orthodox,-238.0,195.0,240,252,,
Red,2.54,-12.7,-1,0,0,-2.63,0.89,2.94,5.57,0.38,0.54,2.0,1.11,0.47,0.8,0.4,0.6,7,0,4,1,2,2,Orthodox,Orthodox,-108.0,-112.0,115,115,,
Blue,0.0,2.54,-5,1,-2,6.72,-1.88,9.2,2.48,0.51,0.43,2.48,4.36,0.37,0.35,0.8,1.4,-11,0,1,1,0,2,Southpaw,Orthodox,124.0,-148.0,135,135,,
Red,-7.62,-5.08,-4,-1,0,-2.56,-2.95,2.0,4.56,0.44,0.53,0.0,2.95,0.0,0.55,0.0,2.4,-2,0,1,2,0,0,Orthodox,Orthodox,-245.0,200.0,125,125,,
Red,-7.62,-7.62,-3,1,4,-1.73,-0.14,3.73,5.46,0.38,0.63,0.0,0.14,0.0,1.0,0.1,0.3,8,-4,9,8,5,1,Orthodox,Southpaw,-425.0,330.0,205,205,0.0,8.0
Blue,-2.54,5.08,-1,-6,-2,-0.85,0.98,3.25,4.1,0.44,0.49,1.81,0.83,0.56,0.27,0.8,0.6,-28,1,7,13,3,5,Orthodox,Orthodox,-155.0,130.0,135,135,0.0,
Blue,5.08,-2.54,-7,5,-5,1.71,1.43,5.33,3.62,0.47,0.46,1.92,0.49,0.33,0.53,0.9,0.1,-70,-15,8,22,2,7,Orthodox,Switch,102.0,-122.0,135,135,,11.0
Red,2.54,12.7,-5,0,5,1.08,-0.5,4.24,3.16,0.49,0.42,0.83,1.33,0.38,0.42,0.6,1.1,32,0,14,7,8,3,Orthodox,Orthodox,124.0,-148.0,185,185,10.0,
Blue,0.0,-5.08,1,0,-3,1.95,1.36,4.87,2.92,0.64,0.41,2.75,1.39,0.3,0.44,0.7,0.6,-32,0,1,8,0,3,Orthodox,Southpaw,700.0,-1100.0,135,135,2.0,3.0
Blue,-5.08,2.54,-11,4,-3,0.02,1.71,4.13,4.11,0.36,0.46,1.96,0.25,0.46,0.41,0.0,0.0,-29,-2,9,12,4,7,Orthodox,Southpaw,185.0,-225.0,170,170,9.0,11.0
Blue,-7.62,2.54,-15,3,-3,-1.12,2.12,3.52,4.64,0.45,0.46,2.4,0.28,0.57,0.5,0.2,0.2,-31,0,3,8,1,4,Orthodox,Orthodox,154.0,-185.0,115,115,6.0,14.0
Blue,-2.54,2.54,0,-1,2,0.31,-0.59,4.43,4.12,0.41,0.43,0.95,1.54,0.29,0.34,0.1,0.0,6,0,6,4,7,5,Orthodox,Orthodox,-112.0,-108.0,155,155,,
Red,5.08,2.54,-8,0,3,0.45,0.77,4.57,4.12,0.5,0.57,0.77,0.0,0.18,0.0,0.0,0.3,3,0,3,2,4,1,Orthodox,Southpaw,-500.0,380.0,185,185,,
