Winner,HeightDif,ReachDif,AgeDif,LossDif,SigStrDif,AvgTDDif,TotalRoundDif,TotalTitleBoutDif,WeightDif,AvgSigStrPctDif,AvgTDPctDif,AvgSubAttDif,WinsDif,OddsDif,RankDif
1,-5.08,-12.7,3.0,3.0,16.666600000000003,0.6667,-24.0,-1.0,-48.0,-0.09899999999999998,0.305,-0.33330000000000004,3.0,-300.0,-12.0
1,12.7,10.16,4.0,1.0,-16.5238,2.8571,-11.0,0.0,-15.0,0.07000000000000006,0.431,0.1429,3.0,-510.0,0
0,0.0,-7.62,-2.0,-2.0,-40.4,-1.2,11.0,0.0,0.0,-0.392,-0.516,0.0,-3.0,240.0,0
0,-5.08,5.08,-2.0,3.0,-3.99,0.29000000000000004,-17.0,0.0,0.0,0.010000000000000009,-0.28,0.9,5.0,270.0,-5.0
1,-7.62,2.54,-2.0,1.0,54.3333,-1.0,-8.0,0.0,0.0,-0.303,-1.0,-1.0,1.0,-355.0,11.0
0,-2.54,-2.54,-1.0,-2.0,0.38000000000000034,-2.77,5.0,0.0,0.0,0.08000000000000002,-0.61,-0.5,-4.0,-240.0,0
1,12.7,17.78,-1.0,3.0,62.6667,0.0,-15.0,0.0,10.0,0.345,0.0,0.0,3.0,-510.0,0
0,10.16,10.16,-8.0,4.0,-2.4299999999999997,-1.75,-37.0,-1.0,-15.0,-0.09999999999999998,-0.08000000000000002,-2.2,9.0,885.0,-9.0
1,-12.7,-10.16,2.0,2.0,7.0,-2.0,-1.0,0.0,0.0,0.08199999999999996,-0.18700000000000006,0.7083,0.0,490.0,0
0,12.7,5.08,-1.0,0.0,-0.9899999999999993,-0.9100000000000001,-7.0,0.0,0.0,-0.06000000000000005,0.09000000000000002,0.7000000000000001,2.0,250.0,0
0,-7.62,-15.24,4.0,-1.0,-2.28,6.96,3.0,0.0,0.0,0.25999999999999995,0.75,2.3,0.0,393.0,0
1,2.54,-2.54,6.0,0.0,-40.8333,1.1667,1.0,0.0,0.0,-0.375,0.677,0.8332999999999999,1.0,-10.0,0
1,20.32,15.24,-1.0,-2.0,-0.11000000000000032,4.37,5.0,0.0,0.0,-0.009999999999999898,-0.09999999999999998,1.0,0.0,-705.0,0
0,-2.54,-5.08,2.0,-4.0,5.362599999999997,-0.28570000000000007,5.0,1.0,20.0,0.01599999999999996,-0.07900000000000001,-0.12090000000000001,-2.0,-320.0,-11.0
0,2.54,0.0,10.0,5.0,0.0,-5.739999999999999,-43.0,0.0,0.0,-0.12,-0.13,-0.8,9.0,345.0,-2.0
1,-2.54,2.54,1.0,4.0,0.8399999999999999,-0.97,-12.0,0.0,0.0,0.0,-0.10999999999999999,1.3,2.0,-251.0,0
0,2.54,5.08,-10.0,1.0,0.7400000000000002,0.9199999999999999,-8.0,0.0,0.0,-0.010000000000000009,0.37,0.7,3.0,360.0,0
1,-2.54,-2.54,-5.0,5.0,-27.2,-2.0,-29.0,0.0,15.0,0.09900000000000003,-0.312,0.2667,9.0,369.0,0
1,0.0,5.08,8.0,3.0,18.7143,1.7143,-14.0,-1.0,0.0,0.464,0.493,0.2857,4.0,-1350.0,-13.0
1,5.08,-1.27,-3.0,1.0,28.1,-0.3999999999999999,-10.0,0.0,0.0,0.013000000000000012,0.40199999999999997,0.6,2.0,480.0,0
0,-5.08,-7.62,0.0,0.0,16.0,0.0,-1.0,0.0,0.0,0.05000000000000002,0.0,0.0,0.0,810.0,0
1,12.7,17.78,5.0,-5.0,17.8182,-0.1713,14.0,4.0,1.0,-0.063,0.03799999999999998,-0.7168,-10.0,-280.0,-1.0
1,5.08,22.86,-2.0,-1.0,-0.19999999999999996,-0.79,0.0,0.0,0.0,0.10999999999999999,0.06,1.4,1.0,249.0,0
0,7.62,7.62,0.0,-2.0,1.0389000000000053,-1.1947999999999999,12.0,0.0,0.0,-0.10399999999999998,-0.336,-0.8182,-2.0,-250.0,-2.0
0,-7.62,0.0,7.0,2.0,3.02,1.77,-13.0,0.0,0.0,0.49,0.57,1.1,4.0,-671.0,0
0,2.54,7.62,1.0,-2.0,0.0,4.35,6.0,0.0,0.0,0.030000000000000027,0.78,-3.3,0.0,-490.0,0
1,12.7,10.16,-3.0,-2.0,5.040000000000001,-2.31,5.0,0.0,0.0,-0.040000000000000036,-0.25,-1.5,-1.0,-355.0,0
1,-5.08,0.0,0.0,0.0,0.0,0.75,-6.0,0.0,-15.0,0.10999999999999999,0.75,0.2,2.0,-500.0,0
1,0.0,0.0,-2.0,1.0,-12.25,0.25,-5.0,0.0,0.0,0.0050000000000000044,0.14499999999999996,0.25,1.0,-10.0,-2.0
0,2.54,-5.08,-3.0,0.0,1.8399999999999999,0.25,-2.0,0.0,0.0,-0.07,0.03999999999999998,0.19999999999999996,1.0,-240.0,0
1,7.62,-2.54,-4.0,-2.0,-16.701900000000002,1.2596,11.0,0.0,0.0,0.01100000000000001,-0.04300000000000001,0.3462,-3.0,385.0,0
0,-2.54,-10.16,-3.0,0.0,-58.0,-8.0,1.0,0.0,0.0,0.15000000000000002,-0.66,0.0,0.0,-300.0,0
1,-2.54,17.78,4.0,-1.0,12.33,0.0,3.0,0.0,10.0,0.38,0.0,0.0,0.0,-370.0,0
0,0.0,-7.62,-4.0,8.0,-1.0,0.07,-34.0,0.0,20.0,-0.020000000000000018,0.16,-3.1,7.0,270.0,0
0,-2.54,0.0,-3.0,1.0,0.6000000000000001,1.4699999999999998,-1.0,0.0,0.0,-0.16999999999999998,0.06000000000000005,-0.3,-1.0,390.0,0
1,2.54,2.54,-2.0,1.0,-0.7800000000000002,0.27,-5.0,0.0,0.0,0.06999999999999995,0.12,0.0,1.0,0.0,0
0,-2.54,-2.54,-5.0,3.0,1.8900000000000001,-2.97,-11.0,0.0,0.0,-0.13,0.010000000000000009,-0.19999999999999996,1.0,270.0,0
0,-7.62,2.54,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-385.0,0
0,-7.62,-2.54,3.0,-1.0,-0.6000000000000005,-0.14,-2.0,0.0,0.0,-0.04999999999999999,0.0,0.29999999999999993,2.0,230.0,-5.0
0,-5.08,5.08,-5.0,-3.0,-34.7308,-0.7820999999999999,25.0,4.0,10.0,-0.03400000000000003,-0.188,-0.9231,-4.0,-385.0,-2.0
1,-2.54,0.0,-3.0,2.0,0.11000000000000032,-2.79,-12.0,0.0,-10.0,-0.14,-0.16000000000000003,-1.4,2.0,-410.0,0
1,2.54,-2.54,-2.0,1.0,67.0,0.0,-3.0,0.0,0.0,0.46,0.0,0.0,0.0,-420.0,0
1,7.62,-5.08,-1.0,1.0,-2.5000000000000004,3.9599999999999995,0.0,0.0,0.0,0.020000000000000018,-0.030000000000000027,1.6,0.0,10.0,0
1,-5.08,-5.08,-1.0,1.0,0.8900000000000001,-2.15,-4.0,0.0,0.0,0.04999999999999999,0.15000000000000002,0.8,1.0,-581.0,0
1,2.54,2.54,0.0,0.0,4.460000000000001,-1.0999999999999999,-2.0,0.0,0.0,0.14000000000000007,-0.11000000000000001,-0.09999999999999987,1.0,0.0,0
0,2.54,-2.54,-1.0,7.0,13.657899999999998,-1.3157999999999999,-39.0,0.0,0.0,-0.288,0.07199999999999998,-0.7895,10.0,-280.0,-3.0
1,5.08,12.7,-3.0,1.0,4.476200000000002,1.0793,-4.0,-1.0,0.0,0.13299999999999995,0.10999999999999999,-0.7778,1.0,-825.0,-3.0
0,10.16,7.62,3.0,3.0,3.1666000000000025,0.16670000000000007,-12.0,-1.0,0.0,-0.19099999999999995,-0.38799999999999996,-0.16669999999999996,0.0,755.0,-3.0
0,-7.62,-5.08,3.0,-4.0,-10.246200000000002,-0.7384999999999999,20.0,0.0,0.0,0.172,-0.351,-0.8,-4.0,400.0,0
